Make,Model,Type,Year-of-manufacture,Mileage,Engine-Type,Power,Cubic-capacity,Cylinders,Cooling,Gears,Transmission,Curb-weight,Exterior-color,Price
Piaggio,Vespa APE TM,Three Wheeler/Trike,1998,200 km,2 stroke,5/7,1 (Factory: 218),1,Not provided,Not provided,Not provided,Not provided,Blue,"11,268"
Yamaha,XVZ 1300 Royal Star,Chopper,1999,"69,000 km",V | 4-Takt | DOHC,55/75,1294,4,water,5,Cardan,0.34,Blue,"7,686"
BMW,R 80 GS Basic,Enduro/Scrambler,1997,"10,855 km",Boxer | 4 stroke | OHC,37/50,798,2,Air,5,Cardan,0.22,White,"18,779"
Honda,CBR 900RR Fireblade,Sports Bike,1998,"53,415 km",Straight | 4-stroke | DOHC,96/130,919,4,water,6,Chain,0.204,Black,"2,795"
Triumph,Legend TT,Touring Bike,2000,"29,800 km",Straight | 4-stroke | DOHC,51/69,885,3,water,5,Chain,0.23,Black,"4,455"
Suzuki,GSF 1200S Bandit,Touring Bike,1999,"49,000 km",Straight | 4-stroke | DOHC,72/98,1157,4,Oil-air,5,Chain,0.22,Others,"3,756"
Honda,F6C Valkyrie,Chopper,2000,"58,000 km",Boxer | 4-Takt | SOHC,74/100,1520,6,water,5,Cardan,0.309,Blue,"7,424"
Aprilia,Moto 6.5,Racing Motorcycle,1999,"1,300 km",4 stroke | DOHC,32/43,649,1,water,5,Chain,0.15,Orange,"8,735"
Ducati,916 Strada,Sports Bike,1999,"33,900 km",V | 4-Takt | DOHC,82/112,916,2,water,6,Chain,0.2,Red,"15,809"
Honda,XRV 750 Africa Twin,Enduro/Scrambler,1998,"6,400 km",Twin | 4 stroke,46/62,742,2,water,5,Chain,0.218,Black,"4,280"
Suzuki,GSX 750 F,Touring Bike,1999,"40,330 km",Straight | 4-stroke | DOHC,68/93,750,4,Oil-air,6,Chain,0.23,Grey,"2,620"
Yamaha,XVZ 1300 Royal Star,Chopper,2000,"79,200 km",V | 4-Takt | DOHC,55/75,1294,4,water,5,Cardan,0.34,Grey,"5,677"
Piaggio,Vespa PX 150,Scooter,2000,"50,266 km",2 stroke,7/10,150,1,Fan,4,unit swing,Not provided,Blue,"2,795"
Moto Guzzi,1100 Sport,Sports Bike,1998,"23,500 km",V | 4-stroke | OHV,66/90,1064,2,Air,5,Cardan,0.221,Black,"21,836"
Triumph,Trident 750,Naked Bike,1996,"42,000 km",4 stroke,64/87,748,3,Oil-air,6,Chain,Not provided,Green,"7,424"
BMW,K 1200 RS,Racing Motorcycle,1999,"41,160 km",Straight | 4-stroke | DOHC,96/130,1171,4,water,6,Cardan,0.28,Silver,"2,533"
Yamaha,GTS 1000,Touring Bike,1995,"41,500 km",4 stroke,74/100,1003,4,water,5,Not provided,Not provided,Blue,"3,756"
Yamaha,XVZ 1300 Royal Star,Chopper,1998,"21,800 km",V | 4-Takt | DOHC,55/75,1294,4,water,5,Cardan,0.34,Black,"5,240"
Kawasaki,Ninja 750 ZX-7R,Sports Bike,1996,"42,200 km",4 stroke,82/112,748,4,Oil-air,6,Chain,Not provided,Green,"6,551"
Honda,VFR 750F,Touring Bike,1995,"18,500 km",V | 4-Takt | DOHC,78/106,748,4,water,6,Chain,0.23,Black,"3,668"
Husqvarna,SMR 570,Moto - Cross,1997,"1,500 km",4 stroke,41/56,576,1,Oil-air,6,Chain,0.118,Blue,"4,193"
Honda,ST 1300 Pan European ABS,Touring Bike,2002,"37,000 km",4 stroke,93/127,1261,4,Oil-air,5,Cardan,0.289,Others,"5,153"
Royal Enfield,Bullet 500,Touring Bike,2008,"1,695 km",4-Takt | OHV,17/23 (Factory: 20/27),499,1,Air,5,Chain,0.195,Black,"4,366"
MV Agusta,F4 1000 S,Racing Motorcycle,2005,123 km,Straight | 4-stroke | DOHC,122/166,998,4,water,6,Chain,0.192,Red,"24,457"
MV Agusta,Superveloce 800,Sports Bike,2020,8 km,Straight | 4-stroke | DOHC,109/148,798,3,Oil-air,6,Chain,0.173,Red,"44,459"
Triumph,Rocket III,Custom,2011,"4,621 mls",4 stroke,90/122 (Factory: 104/141),2294,3,Oil-air,Not provided,Not provided,Not provided,Black,"9,990"
